Continent,Location_of_incursion,Date_of_incursion,Year_of_incursion,Month_of_incursion,Species,Animal_details,Ownership_status,Vaccination,Age_class,Breed,Origin_continent,Location_origin_of_animal,Time_bet_incursion_and_symptoms,Type_of_incursion,Borders_crossed,Mode_of_travel,Incursion_details,Full_details,Seen_details,Seen_details1,Phylogenetic_analysis,Public_health_response,Local_transmission,Unusual_cs_transmission,ID_number,Study
Africa,South Africa,Jul-03,2003,July,Horse,"Owned, unvaccinated 2-year-old Thoroughbred",Owned,Unvaccinated,Adult,Thoroughbred,Africa,Zimbabwe,5 months,Human-mediated,International (shared border),By land,"Imported from Golden Acres, Harare to Ashburton Training Center, Pietermaritzburg","Owned, unvaccinated 2-year-old Thoroughbred; Imported from Golden Acres, Harare to Ashburton Training Center, Pietermaritzburg",Imported from Harare to Pietermaritzburg,"Owned, unvaccinated 2-year-old Thoroughbred; Imported from Golden Acres, Harare to Ashburton Training Center, Pietermaritzburg",No,,No local transmission,No,1,"Sabeta & Randles, 2005 (1)"
Africa,Ethiopia,Sep-03,2003,September,Dog,Presumed unvaccinated,,Unvaccinated,,,Africa,Ethiopia,,Natural,In-country,By land,Incursion from nearby towns despite regular mass dog vaccination; caused rabies outbreak in wolves of Bale Mountains National Park,Presumed unvaccinated;  Incursion from nearby towns despite regular mass dog vaccination; caused rabies outbreak in wolves of Bale Mountains National Park,Incursion from nearby towns that caused rabies outbreak in wolves of Bale Mountains National Park,Presumed unvaccinated;  Incursion from nearby towns despite regular mass dog vaccination; caused rabies outbreak in wolves of Bale Mountains National Park,No,Trap-vaccination-release of wolves; controlled by 2004,Outbreak,Yes,2,"Laurenson et al., 2005 (2); McQuiston, 2008 (3); Ehnert & Galland, 2009 (4) "
Africa,South Africa,Aug-05,2005,August,Dog,,,,,,Africa,Zimbabwe,,Natural,International (shared border),By land,Suspected incursion due to phylogenetic analysis catalysed by sharp increase in dog rabies cases in Limpopo province,Suspected incursion due to phylogenetic analysis catalysed by sharp increase in dog rabies cases in Limpopo province,Caused sharp increase in dog rabies cases in Limpopo province,Suspected incursion due to phylogenetic analysis catalysed by sharp increase in dog rabies cases in Limpopo province,Yes,Mass dog vaccination,No local transmission,No,3,"Zulu et al., 2008 (5);  Sabeta et al., 2011 (6); Townsend et al., 2013 (7)"
Africa,South Africa,2008,2008,,Dog,,,,,,Africa,South Africa,,Natural,In-country,By land,Suspected incursion from Nkomazi indicated by phylogenetic analysis; led to outbreak in other parts of Mpumalanga,Suspected incursion from Nkomazi indicated by phylogenetic analysis; led to outbreak in other parts of Mpumalanga,Suspected incursion from Nkomazi that led to outbreak in other parts of Mpumalanga,Suspected incursion from Nkomazi indicated by phylogenetic analysis; led to outbreak in other parts of Mpumalanga,Yes,,Outbreak,No,4,"Phahladira et al., 2012 (8)"
Africa,South Africa,2010,2010,,Dog,,,,,,Africa,South Africa,,,In-country,By land (presumed),"Imported from KwaZulu-Natal; bit local pet dog in Witpoortjie, south Johannesberg where vaccination rate is low, resulting in outbreak in Gauteng Province","Imported from KwaZulu-Natal; bit local pet dog in Witpoortjie, south Johannesberg where vaccination rate is low, resulting in outbreak in Gauteng Province","Imported from KwaZulu-Natal and bit local pet dog in Witpoortjie, resulting in outbreak in Gauteng Province","Imported from KwaZulu-Natal; bit local pet dog in Witpoortjie, south Johannesberg where vaccination rate is low, resulting in outbreak in Gauteng Province",No,,Outbreak,No,5,"Sabeta et al., 2013 (9); Weyer et al., 2020 (10); Ngoepe et al., 2022 (11)"
Africa,South Africa,2011,2011,,Dog,,,,,,Africa,Lesotho,,,International (shared border),By land (presumed),"Suspected incursion from Lesotho into Sisonke district, KwaZulu-Natal indicated by phylogenetic analysis ","Suspected incursion from Lesotho into Sisonke district, KwaZulu-Natal indicated by phylogenetic analysis ","Suspected incursion into Sisonke district, KwaZulu-Natal","Suspected incursion into Sisonke district, KwaZulu-Natal indicated by phylogenetic analysis ",Yes,,No local transmission,No,6,"Mollentze et al., 2013 (12)"
Africa,South Africa,2012,2012,,Dog,,,,,,Africa,South Africa,,Natural,In-country,By land (presumed),"Suspected incursion from North West Province indicated by phylogenetic analysis; led to jackal rabies outbreak in uThukela, KwaZulu-Natal","Suspected incursion from North West Province indicated by phylogenetic analysis; led to jackal rabies outbreak in uThukela, KwaZulu-Natal","Suspected incursion from North West Province that led to jackal rabies outbreak in uThukela, KwaZulu-Natal","Suspected incursion from North West Province indicated by phylogenetic analysis; led to jackal rabies outbreak in uThukela, KwaZulu-Natal",Yes,,No local transmission,No,7,"Ngoepe et al., 2022 (11)"
Africa,South Africa,2012,2012,,Dog,Rescued stray puppy,Owned,,3 months and below,,Africa,Lesotho,,,International (shared border),By land (presumed),"Suspected incursion from Lesotho indicated by phylogenetic analysis; secondary transmission to 1 human (owner) in Underberg, Sisonke district, KwaZulu-Natal","Rescued stray puppy; suspected incursion from Lesotho indicated by phylogenetic analysis; secondary transmission to 1 human (owner) in Underberg, Sisonke district, KwaZulu-Natal ",Rescued stray; secondary transmission to 1 human (owner),"Rescued stray puppy; suspected incursion indicated by phylogenetic analysis; secondary transmission to 1 human (owner) in Underberg, Sisonke district, KwaZulu-Natal ",Yes,,Secondary transmission,No,8,"Mollentze et al., 2013 (12)"
Africa,Chad,2014,2014,,Dog,,,,,,Africa,Chad,,Human-mediated,In-country,By land (presumed),Suspected human-mediated incursion into N’Djamena from surrounding area indicated by phylogenetic analysis,Suspected human-mediated incursion into N’Djamena from surrounding area indicated by phylogenetic analysis,Suspected human-mediated incursion into N’Djamena from surrounding area,Suspected human-mediated incursion into N’Djamena from surrounding area indicated by phylogenetic analysis,Yes,,No local transmission,No,9,"Zinsstag et al., 2017 (13)"
Africa,Tanzania,Sep-16,2016,September,Dog,,,,,,Africa,Tanzania,,,In-country,By water (presumed),Suspected incursion from Zanzibar indicated by phylogenetic analysis; led to outbreak in Pemba during lapse in dog mass vaccination,Suspected incursion from Zanzibar indicated by phylogenetic analysis; led to outbreak in Pemba during lapse in dog mass vaccination,Suspected incursion from Zanzibar that led to outbreak in Pemba facilitated by lapse in dog mass vaccination,Suspected incursion from Zanzibar indicated by phylogenetic analysis; led to outbreak in Pemba during lapse in dog mass vaccination,Yes,"Mass dog vaccination, PEP (subsidized); outbreak ended in 2018",Outbreak,No,10,"Lushasi et al., 2022 (14)"
